time,open,high,low,close,volume,trade
2018-02-16,924.55000000,948.48000000,901.36000000,938.67000000,115540.16349000,58076.47841000
2018-02-17,938.60000000,974.00000000,933.48000000,969.99000000,110091.03618000,55838.89511000
2018-02-18,969.99000000,978.50000000,897.00000000,911.00000000,160129.79518000,76779.45418000
2018-02-19,911.00000000,956.22000000,906.04000000,938.11000000,80099.49534000,39939.92617000
2018-02-20,939.17000000,961.00000000,873.00000000,882.99000000,120056.67502000,51589.65011000
2018-02-21,882.99000000,908.88000000,812.87000000,835.89000000,176200.55151000,87081.74410000
2018-02-22,836.35000000,871.96000000,786.60000000,801.49000000,137561.85113000,66047.98885000
2018-02-23,801.47000000,885.00000000,785.99000000,851.60000000,154507.41338000,78138.49259000
2018-02-24,851.59000000,875.00000000,805.00000000,833.94000000,89311.57940000,42475.83266000
2018-02-25,833.92000000,849.50000000,813.18000000,841.19000000,59431.26474000,30059.73273000
2018-02-26,841.46000000,882.00000000,833.00000000,867.98000000,74911.46560000,40273.49778000
2018-02-27,867.98000000,897.49000000,860.69000000,870.11000000,63487.68425000,31371.55804000
2018-02-28,871.84000000,891.00000000,850.30000000,853.50000000,53620.45209000,27052.02562000
2018-03-01,853.50000000,879.96000000,848.65000000,870.63000000,43785.00503000,22585.28400000
2018-03-02,870.63000000,876.22000000,850.00000000,856.28000000,39436.26006000,18068.41456000
2018-03-03,856.27000000,870.78000000,852.30000000,856.02000000,34170.29420000,15376.67570000
2018-03-04,856.51000000,868.00000000,836.24000000,866.66000000,29735.01829000,15317.96521000
2018-03-05,866.61000000,871.75000000,847.20000000,849.84000000,30567.79813000,12799.98986000
2018-03-06,849.81000000,853.18000000,803.01000000,813.11000000,48658.06883000,22191.73389000
2018-03-07,813.31000000,826.20000000,718.40000000,749.90000000,109013.28380000,48470.06648000
2018-03-08,749.02000000,772.07000000,684.00000000,695.46000000,76312.77819000,36044.50510000
2018-03-09,695.48000000,727.92000000,640.00000000,723.71000000,116545.37303000,60668.11131000
2018-03-10,723.65000000,745.00000000,673.06000000,680.58000000,63012.67972000,31800.29863000
2018-03-11,680.58000000,735.00000000,659.15000000,720.85000000,73967.35869000,38421.73903000
2018-03-12,721.00000000,740.50000000,676.31000000,697.11000000,67732.85988000,31034.85323000
2018-03-13,696.52000000,713.76000000,680.00000000,689.94000000,55735.18315000,26716.95139000
2018-03-14,690.16000000,703.54000000,585.00000000,610.10000000,89904.25415000,39532.62564000
2018-03-15,610.10000000,621.12000000,570.00000000,608.83000000,94426.72453000,46470.38535000
2018-03-16,608.83000000,625.30000000,584.15000000,599.05000000,64720.20994000,33403.29506000
2018-03-17,599.03000000,609.26000000,544.00000000,546.95000000,68022.45920000,32527.71191000
2018-03-18,547.98000000,560.00000000,450.00000000,537.00000000,248817.22600000,114393.25553000
2018-03-19,537.39000000,560.00000000,515.80000000,556.88000000,184798.77062000,91723.14578000
2018-03-20,556.88000000,567.87000000,515.00000000,557.00000000,135426.91549000,67726.94222000
2018-03-21,557.00000000,590.52000000,545.11000000,559.17000000,117019.17321000,57668.25343000
2018-03-22,559.15000000,578.60000000,516.00000000,539.92000000,111106.19916000,55271.47004000
2018-03-23,539.78000000,544.72000000,506.71000000,543.03000000,106416.06746000,53573.84272000
2018-03-24,543.20000000,545.99000000,518.63000000,520.22000000,87710.78945000,41522.36464000
2018-03-25,521.17000000,536.00000000,512.00000000,523.74000000,71903.17130000,33854.54926000
2018-03-26,523.95000000,527.67000000,465.56000000,485.00000000,151084.23688000,76715.81596000
2018-03-27,485.00000000,491.55000000,446.00000000,448.50000000,138188.76042000,61442.73325000
2018-03-28,448.50000000,466.00000000,440.14000000,446.67000000,89895.47885000,43268.16083000
2018-03-29,446.07000000,449.43000000,380.00000000,384.00000000,225341.94316000,105223.74466000
2018-03-30,383.87000000,412.04000000,366.00000000,392.43000000,292254.79437000,139653.28026000
2018-03-31,392.40000000,419.40000000,388.52000000,393.92000000,167833.59399000,85749.94972000
